<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.15	06:22:00	1.11967	1.11978	1.11963	1.11977	34	0	2
2025.05.15	06:23:00	1.11978	1.11980	1.11972	1.11975	25	0	2
2025.05.15	06:24:00	1.11974	1.11978	1.11973	1.11977	14	0	2
2025.05.15	06:25:00	1.11978	1.11991	1.11974	1.11989	29	0	2
2025.05.15	06:26:00	1.11992	1.11996	1.11982	1.11988	39	0	2
2025.05.15	06:27:00	1.11989	1.11996	1.11984	1.11984	27	0	2
2025.05.15	06:28:00	1.11987	1.11993	1.11981	1.11986	32	0	2
2025.05.15	06:29:00	1.11983	1.12005	1.11982	1.12005	31	0	2
2025.05.15	06:30:00	1.12004	1.12013	1.11980	1.11983	52	0	2
2025.05.15	06:31:00	1.11984	1.11993	1.11975	1.11986	33	0	2
2025.05.15	06:32:00	1.11985	1.11991	1.11977	1.11982	25	0	2
2025.05.15	06:33:00	1.11983	1.11983	1.11968	1.11968	10	0	2
2025.05.15	06:34:00	1.11968	1.11968	1.11957	1.11961	24	0	2
2025.05.15	06:35:00	1.11960	1.11977	1.11960	1.11965	45	0	2
2025.05.15	06:36:00	1.11966	1.12000	1.11966	1.11993	53	0	2
2025.05.15	06:37:00	1.11995	1.11996	1.11987	1.11993	31	0	2
2025.05.15	06:38:00	1.11992	1.11993	1.11979	1.11982	28	0	2
2025.05.15	06:39:00	1.11983	1.11988	1.11968	1.11973	28	0	2
2025.05.15	06:40:00	1.11972	1.11978	1.11968	1.11968	27	0	2
2025.05.15	06:41:00	1.11966	1.11975	1.11959	1.11975	33	0	2
2025.05.15	06:42:00	1.11974	1.11983	1.11969	1.11983	21	0	2
2025.05.15	06:43:00	1.11981	1.11985	1.11972	1.11977	26	0	2
2025.05.15	06:44:00	1.11977	1.11997	1.11973	1.11994	26	0	2
2025.05.15	06:45:00	1.11997	1.11998	1.11988	1.11988	15	0	2
2025.05.15	06:46:00	1.11988	1.11996	1.11983	1.11984	32	0	2
2025.05.15	06:47:00	1.11983	1.11999	1.11982	1.11996	31	0	2
2025.05.15	06:48:00	1.11996	1.12008	1.11990	1.12006	41	0	2
2025.05.15	06:49:00	1.12005	1.12005	1.11986	1.11986	34	0	2
