<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.16	07:46:00	0.89589	0.89628	0.89587	0.89627	67	0	5
2025.05.16	07:48:00	0.89628	0.89638	0.89621	0.89626	98	0	3
2025.05.16	07:50:00	0.89627	0.89640	0.89618	0.89637	98	0	4
2025.05.16	07:52:00	0.89636	0.89636	0.89612	0.89620	99	0	5
2025.05.16	07:54:00	0.89621	0.89621	0.89599	0.89611	70	0	4
2025.05.16	07:56:00	0.89611	0.89613	0.89584	0.89599	76	0	3
2025.05.16	07:58:00	0.89599	0.89600	0.89583	0.89592	105	0	4
2025.05.16	08:00:00	0.89591	0.89616	0.89582	0.89604	141	0	4
2025.05.16	08:02:00	0.89604	0.89617	0.89603	0.89608	95	0	3
2025.05.16	08:04:00	0.89607	0.89616	0.89603	0.89612	99	0	3
2025.05.16	08:06:00	0.89614	0.89635	0.89608	0.89633	152	0	4
2025.05.16	08:08:00	0.89633	0.89639	0.89624	0.89631	119	0	5
2025.05.16	08:10:00	0.89631	0.89635	0.89609	0.89612	62	0	5
2025.05.16	08:12:00	0.89610	0.89632	0.89603	0.89632	111	0	4
2025.05.16	08:14:00	0.89632	0.89642	0.89627	0.89634	92	0	5
2025.05.16	08:16:00	0.89634	0.89647	0.89632	0.89636	64	0	5
2025.05.16	08:18:00	0.89637	0.89671	0.89635	0.89668	82	0	3
2025.05.16	08:20:00	0.89669	0.89671	0.89652	0.89652	81	0	3
2025.05.16	08:22:00	0.89653	0.89653	0.89627	0.89628	61	0	4
2025.05.16	08:24:00	0.89627	0.89652	0.89627	0.89647	56	0	5
2025.05.16	08:26:00	0.89647	0.89652	0.89621	0.89624	95	0	4
2025.05.16	08:28:00	0.89623	0.89637	0.89621	0.89632	76	0	5
2025.05.16	08:30:00	0.89633	0.89646	0.89631	0.89643	60	0	2
2025.05.16	08:32:00	0.89642	0.89647	0.89635	0.89640	80	0	4
2025.05.16	08:34:00	0.89640	0.89670	0.89640	0.89669	83	0	5
